benchmark_id,N,db_type,content_size,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,peak_rss_mb
test_benchmark_db_fact_content_retrieval,3000,postgres,medium,86.6279,107.4292,112.1677,87.5049,73.2756,113.3523,102.3906
test_benchmark_db_fact_content_retrieval,3000,postgres,small,99.9383,106.1654,107.6983,99.5222,88.5568,108.0815,99.3125
test_benchmark_db_fact_content_retrieval,5000,postgres,large,87.5684,94.4562,96.2706,86.9273,80.3210,96.7243,119.2344
test_benchmark_db_fact_content_retrieval,5000,postgres,medium,94.0371,100.2241,100.2841,93.6029,83.9959,100.2991,159.9375
test_benchmark_db_fact_content_retrieval,5000,postgres,small,89.5183,113.9118,127.1954,93.6566,80.4048,130.5162,117.0000
test_benchmark_end_to_end_recall,5,postgres,large,207.1965,221.0261,223.4864,208.0429,193.0342,224.1015,394.3281
test_benchmark_end_to_end_recall,5,postgres,medium,192.4995,204.0713,204.0899,192.8904,176.2723,204.0945,415.0000
test_benchmark_end_to_end_recall,5,postgres,small,240.3716,258.0264,259.4790,243.4166,226.1631,259.8422,431.7656
test_benchmark_end_to_end_recall,50,postgres,large,340.0027,500.4401,506.1863,380.5250,247.9910,507.6229,151.1406
test_benchmark_end_to_end_recall,50,postgres,medium,886.2426,925.9129,930.6213,873.6145,791.6985,931.7984,143.1875
test_benchmark_end_to_end_recall,50,postgres,small,315.7314,348.2885,351.6354,293.4678,227.6252,352.4722,177.5469
test_benchmark_end_to_end_recall,100,postgres,large,283.2062,408.9065,416.7932,315.8941,253.2626,418.7648,161.5156
test_benchmark_end_to_end_recall,100,postgres,medium,280.0082,349.0610,361.2202,283.9944,236.0295,364.2600,174.0469
test_benchmark_end_to_end_recall,100,postgres,small,260.0630,280.4047,283.6345,260.2265,236.0112,284.4419,170.5312
test_benchmark_end_to_end_recall,300,postgres,large,351.8570,619.5653,623.6546,422.1879,262.5555,624.6769,176.7188
test_benchmark_end_to_end_recall,300,postgres,medium,546.7743,830.6038,879.1204,588.3675,434.6095,891.2496,114.0938
test_benchmark_end_to_end_recall,300,postgres,small,413.3875,480.7913,492.6823,416.6392,359.8140,495.6550,166.0625
test_benchmark_end_to_end_recall,600,postgres,large,1621.2303,2320.8609,2435.1850,1782.1359,1498.3078,2463.7660,117.4062
test_benchmark_end_to_end_recall,600,postgres,medium,6218.9843,8112.5370,8115.9483,6597.5642,4555.5055,8116.8012,126.8594
test_benchmark_end_to_end_recall,600,postgres,small,1559.4738,1736.1683,1764.5373,1590.1892,1492.0162,1771.6295,130.3438
test_benchmark_end_to_end_recall,1000,postgres,large,6538.2110,7355.8352,7440.4726,6458.2800,5176.2090,7461.6319,144.1719
test_benchmark_end_to_end_recall,1000,postgres,medium,8401.9513,9917.6407,10070.6046,8638.9167,7761.9632,10108.8455,150.7500
test_benchmark_end_to_end_recall,1000,postgres,small,964.4335,1863.8940,2010.0136,1126.8278,661.8753,2046.5435,145.0469
test_benchmark_end_to_end_recall,3000,postgres,large,8065.4084,16588.1960,18220.5518,8892.2016,3752.7881,18628.6407,167.3438
test_benchmark_end_to_end_recall,3000,postgres,medium,1184.5615,1318.4989,1322.8413,1226.4923,1155.8553,1323.9269,172.4375
test_benchmark_end_to_end_recall,3000,postgres,small,2777.5600,4899.3668,5142.9433,3323.1965,2314.7848,5203.8374,179.1094
test_benchmark_end_to_end_recall,5000,postgres,large,1856.9928,1906.7793,1916.0476,1800.6851,1622.5933,1918.3646,429.2188
test_benchmark_end_to_end_recall,5000,postgres,medium,5826.9277,7187.3632,7335.9122,5088.0235,2521.2948,7373.0495,193.7969
test_benchmark_end_to_end_recall,5000,postgres,small,2215.7873,5082.1697,5276.2423,2968.0082,1464.3692,5324.7605,182.3281
test_benchmark_semantic_search,5,postgres,large,0.0216,0.0319,0.0407,0.0233,0.0212,0.0642,171.6250
test_benchmark_semantic_search,5,postgres,medium,0.0215,0.0308,0.0362,0.0228,0.0211,0.0546,161.2500
test_benchmark_semantic_search,5,postgres,small,0.0218,0.0246,0.0295,0.0222,0.0212,0.0584,224.6250
test_benchmark_semantic_search,50,postgres,large,0.0620,0.1324,0.1433,0.0749,0.0565,0.3263,173.0312
test_benchmark_semantic_search,50,postgres,medium,0.0596,0.1468,0.1638,0.0747,0.0563,0.3220,194.6094
test_benchmark_semantic_search,50,postgres,small,0.0582,0.1175,0.1497,0.0692,0.0566,0.4177,187.0781
test_benchmark_semantic_search,100,postgres,large,0.1052,0.1684,0.1737,0.1119,0.0945,0.4801,166.4844
test_benchmark_semantic_search,100,postgres,medium,0.1177,0.1805,0.2016,0.1284,0.0956,0.4188,98.9062
test_benchmark_semantic_search,100,postgres,small,0.1061,0.1829,0.2125,0.1201,0.0947,0.5010,179.7812
test_benchmark_semantic_search,300,postgres,large,0.2913,0.3307,0.3693,0.2902,0.2438,2.5432,107.6562
test_benchmark_semantic_search,300,postgres,medium,0.2512,0.2968,0.3329,0.2596,0.2425,0.4933,111.7031
test_benchmark_semantic_search,300,postgres,small,0.2692,0.3266,0.3593,0.2779,0.2417,0.5815,107.2500
test_benchmark_semantic_search,600,postgres,large,0.6193,0.7074,0.8286,0.6293,0.5457,5.7402,132.7500
test_benchmark_semantic_search,600,postgres,medium,0.6277,0.7223,0.7932,0.6408,0.5540,1.2055,120.4375
test_benchmark_semantic_search,600,postgres,small,0.6437,0.7916,0.8788,0.6567,0.5537,0.9443,127.2500
test_benchmark_semantic_search,1000,postgres,large,1.1320,1.9421,3.1828,3.0100,0.9262,1101.2338,127.2812
test_benchmark_semantic_search,1000,postgres,medium,1.0137,1.2388,1.4589,1.0454,0.9340,2.9321,143.2656
test_benchmark_semantic_search,1000,postgres,small,1.0106,1.2305,1.7908,1.0488,0.9328,4.7254,137.1562
test_benchmark_semantic_search,3000,postgres,large,2.6687,3.4114,6.7119,4.3153,2.5888,395.6145,134.6094
test_benchmark_semantic_search,3000,postgres,medium,2.6628,2.8204,2.8587,2.6752,2.5463,2.9171,164.7344
test_benchmark_semantic_search,3000,postgres,small,2.7002,2.8489,2.9240,2.6969,2.5443,3.2305,197.4219
test_benchmark_semantic_search,5000,postgres,large,5.4147,6.9626,33.3873,7.6334,5.1837,264.7166,167.1562
test_benchmark_semantic_search,5000,postgres,medium,5.1698,5.5505,20.4282,5.9767,4.9747,76.3538,454.0469
test_benchmark_semantic_search,5000,postgres,small,5.4214,6.4250,19.7626,7.2689,5.0384,260.6705,167.1094
